Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Area-mean temperatures of Switzerland 1864-2026

DOI: 10.18751/Climate/Timeseries/CHTM/1.4
CAT-version: 2.0.4
Creation date: 01.04.2026 (provisional value for the most recent month)

Citation:
Method: Begert M, Frei C. 2018. Long-term area-mean temperature series for Switzerland - Combining homogenized station data and high resolution grid data. Int. J. Climatol., 38: 2792-2807. https://doi.org/10.1002/joc.5460
Dataset: MeteoSwiss. Area-mean temperatures of Switzerland. doi:10.18751/Climate/Timeseries/CHTM/1.4

djf: dec-feb; mam: mar-may; jja: jun-aug; son: sep-nov; winter: oct-mar; summer: apr-sep; year: jan-dec

time	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec	djf	mam	jja	son	winter	summer	year
1896	-4.49	-2.82	1.34	0.57	5.52	10.47	12.78	9.24	8.27	3.47	-1.62	-3.01	-3.28	2.48	10.83	3.37	-0.19	7.81	3.31
1897	-4.77	0.07	1.45	2.95	5.49	12.35	13.05	12.25	7.98	3.99	1.38	-2.69	-2.57	3.29	12.55	4.45	-0.74	9.01	4.46
1898	-0.76	-3.54	-1.06	3.4	6.13	9.43	11.25	13.9	11.38	6.48	2.49	-2.28	-2.33	2.83	11.53	6.78	-0.45	9.25	4.74
1899	-1.6	-0.56	-0.14	2.39	6.22	10.47	12.49	13.6	8.67	6.38	2.07	-4.63	-1.48	2.82	12.18	5.7	0.73	8.97	4.61
1900	-3.03	-1	-4.09	1.96	6.34	11.52	13.97	11.3	11.29	5.53	0.87	-0.61	-2.88	1.4	12.26	5.9	-0.72	9.4	4.5
1901	-4.7	-8.75	-2.63	3.4	7.5	11.31	12.92	11.84	9.58	4.56	-1.39	-2.82	-4.69	2.76	12.02	4.25	-1.71	9.43	3.4
1902	-2.52	-3.1	-0.38	5.12	3.1	9.46	13.1	11.5	9.12	4.04	-0.05	-3.35	-2.81	2.61	11.35	4.37	-0.94	8.56	3.83
1903	-3.55	-0.81	0.52	-0.52	7.11	9.44	11.35	12.2	9.41	5.52	0.11	-3.93	-2.57	2.37	11	5.01	-0.53	8.16	3.9
1904	-4.25	-3.13	-0.59	4.64	8.57	11.72	15.13	13.2	7.38	4.95	-0.62	-2.02	-3.77	4.2	13.35	3.9	-1.05	10.11	4.58
1905	-6.29	-4.01	0.1	2.9	5.97	11.17	15.07	12.14	9.44	-0.29	-0.89	-2.44	-4.11	2.99	12.79	2.75	-1.31	9.45	3.57
1906	-3.61	-5.08	-1.6	2.24	7.36	10.05	12.93	13.41	8.71	7.06	1.68	-6.42	-3.71	2.67	12.13	5.82	-2.32	9.12	3.89
1907	-4.66	-5.94	-2.07	1.23	7.76	10.45	10.69	12.99	10.3	6.1	1.56	-1.46	-5.68	2.31	11.38	5.99	-1.73	8.9	3.91
1908	-4.25	-3.65	-2.46	0.65	9.06	12.34	12.13	10.83	8.55	5.87	-0.37	-3.44	-3.12	2.42	11.77	4.68	-0.69	8.93	3.77
1909	-5.39	-6.45	-3.05	4.49	6.76	8.67	10.38	11.81	8.2	6.07	-1.58	-1.46	-5.09	2.73	10.28	4.23	-2.14	8.38	3.2
1910	-3.25	-2.93	-0.59	2.07	5.63	10.72	10.39	11.42	7.06	5.88	-1.42	-0.85	-2.55	2.37	10.85	3.84	-0.62	7.88	3.68
1911	-5.5	-3.07	-0.65	2.01	7.35	10.14	15.26	15.27	11.23	5.09	1.82	-0.86	-3.14	2.9	13.56	6.05	-0.94	10.21	4.84
1912	-2.27	0.09	1.46	1.81	8.05	10.5	11.98	9.07	4.38	3.71	-2.51	-1.11	-1.01	3.78	10.51	1.86	0.89	7.63	3.76
1913	-2.11	-3.16	1.72	2.49	6.95	10.13	9.54	11.19	8.53	6.58	2.7	-2.83	-2.13	3.72	10.29	5.94	-0.58	8.14	4.31
1914	-6.53	-0.48	-0.02	5.17	5.72	9.16	10.9	12.25	8.54	4.35	-0.66	-1.13	-3.28	3.62	10.77	4.08	-0.1	8.62	3.94
1915	-4.72	-3.81	-1.53	1.75	9.56	12.37	11.82	10.92	7.71	2.49	-2.15	0.77	-3.22	3.26	11.7	2.68	-1.25	9.02	3.76
1916	-0.96	-2.63	-0.06	3.08	8.05	8.32	11.57	11.69	7.26	4.75	0.37	-1.93	-0.94	3.69	10.53	4.13	-0.42	8.33	4.13
1917	-6.13	-5.2	-2.83	-0.45	9.97	12.63	12.5	11.43	11.51	2.53	-0.14	-6.28	-4.42	2.23	12.19	4.63	-1.83	9.6	3.3
1918	-2.8	-2.3	-0.58	3.07	8.66	8.38	12.42	11.94	9.82	3.38	0.3	-0.36	-3.79	3.72	10.91	4.5	-1.59	9.05	4.33
1919	-4.08	-4.03	-0.89	0.36	6.77	10.87	9.43	13.93	11.09	1.25	-2.14	-2.29	-2.83	2.08	11.41	3.4	-0.95	8.74	3.36
1920	-1.04	-0.67	1.91	3.62	10.11	10.36	12.55	10.57	9.4	5.5	0.82	-2.37	-1.33	5.21	11.16	5.24	-0.5	9.43	5.06
1921	-0.48	-3.04	1.07	2.04	8.74	11	15.07	12.57	11.28	8.1	-1.45	-2.15	-1.96	3.95	12.88	5.98	0.25	10.12	5.23
1922	-4.77	-2.72	0.5	1.18	9.49	11.19	11.3	12.24	7	3.38	-1.55	-2.97	-3.21	3.73	11.58	2.94	-0.42	8.73	3.69
1923	-4.48	-1.23	0.09	3.12	7.36	7.29	15.09	13.63	8.9	6.88	0.06	-3.85	-2.89	3.52	12	5.28	-1.13	9.23	4.41
1924	-4.44	-5.62	-0.52	3.25	8.75	10.67	12.7	9.32	9.49	5.38	1.56	-1.76	-4.64	3.83	10.9	5.48	-1.25	9.03	4.06
1925	-1.25	-1.69	-3.33	2.99	7.64	11.56	12.09	11.8	6.87	5.86	-0.86	-3.32	-1.57	2.43	11.82	3.96	-0.18	8.82	4.03
1926	-3.66	1.27	0.39	4.39	5.67	8.18	11.84	12.74	11.62	5.6	2.64	-3.82	-1.91	3.48	10.92	6.62	-0.05	9.07	4.74
1927	-3.34	-3.13	0.1	3.52	8.4	10.73	12.72	11.77	9.38	5.38	1.36	-2.79	-3.43	4.01	11.74	5.37	-0.33	9.42	4.51
1928	-2.3	-1.48	0.37	3.28	5.28	11.06	16.14	14.12	9.52	4.89	1.35	-4	-2.19	2.98	13.77	5.25	0.09	9.9	4.85
1929	-7.4	-8.43	0.2	0.95	7.95	11.66	13.96	12.66	12.4	5.6	0.8	-1.01	-6.61	3.03	12.76	6.27	-2.23	9.93	4.11
1930	-0.83	-3.94	0.8	3.71	6.21	13.54	11.66	12.37	10.06	4.94	2.63	-2.27	-1.93	3.58	12.52	5.88	0.24	9.59	4.91
1931	-4.45	-5.28	-1.9	2.1	9.43	13.44	12.22	10.74	5.29	4.6	2.19	-3.98	-4	3.21	12.14	4.03	-1.05	8.87	3.7
1932	-1.77	-6.87	-2.09	1.26	6.48	9.72	12.04	15.11	12.38	4.53	1.5	-1.04	-4.21	1.88	12.29	6.14	-1.32	9.5	4.27
