Jahr,Monat,Definitiv,Erzeugung_Laufwerk_GWh,Erzeugung_Speicherwerk_GWh,Erzeugung_Kernkraftwerk_GWh,Erzeugung_andere_GWh,Erzeugung_Thermische_GWh,Erzeugung_Windkraft_GWh,Erzeugung_Photovoltaik_GWh,Landeserzeugung_GWh,Verbrauch_Speicherpumpen_GWh,Erzeugung_netto_GWh,Einfuhr_GWh,Ausfuhr_GWh,Landesverbrauch_GWh,Verluste_GWh,Endverbrauch_GWh
2025,4,0,1123,1255,1883,NULL,291,11,966,5529,412,5117,2116,2405,4828,366,4462
2025,5,0,1695,1891,1124,NULL,269,10,1025,6014,535,5479,2003,2649,4833,347,4486
2025,6,0,2088,2081,1351,NULL,291,12,1206,7029,783,6246,1779,3280,4745,319,4426
2025,7,0,1959,1880,1140,NULL,306,11,1081,6377,610,5767,2148,3138,4777,355,4422
2025,8,0,1866,1652,1147,NULL,281,8,1070,6024,699,5325,2030,2651,4704,347,4357
2025,9,0,1669,1958,1117,NULL,264,10,701,5719,424,5295,2442,3004,4733,332,4401
2025,10,0,1188,1789,1407,NULL,301,22,461,5168,269,4899,2839,2520,5218,380,4838
2025,11,0,1100,1859,1404,NULL,309,14,275,4961,261,4700,2967,2053,5614,378,5236
2025,12,0,961,1761,1455,NULL,333,15,168,4693,345,4348,3427,1874,5901,396,5505
2026,1,0,706,2177,1454,NULL,350,18,206,4911,301,4610,3686,1909,6387,402,5985
2026,2,0,847,1505,1315,NULL,319,20,371,4377,284,4093,3060,1745,5408,382,5026
2026,3,0,884,1554,1466,NULL,334,31,798,5067,237,4830,3305,2425,5710,391,5319
